Colors,Description,Flowers,Image,Misc items,Name,Type,Used
"Sage , Blush , Burgundy  , White","Roses, lisianthks, dahlias, blush roses, seeded eucalyptus, eucalyptus guni","burgundy dahlia , Burgundy lisianthus , Blush  Stock  , Peach lisianthus  , Eucalyptus Gunii  , Burgundy Hearts rose , champagne rose",s3.amazonaws.com/appforest_uf/f1638821851661x382526948760890700/image.png,,Wooden Arch with Burgundy and Blush Flowers ,Arch,2.0
"White , Burgundy , Green , Sage green",Eucalyptus garland 8 ft long with w]\blush and burgundy roses with herbs,"Silver dollar  , Seeded Eucalyptus , champagne rose , Burgundy Hearts rose , burgundy wax flower",s3.amazonaws.com/appforest_uf/f1630634171871x847156870648722700/Screen%20Shot%202021-09-02%20at%206.23.46%20PM.png,,8 ft greenery and burgundy flowers garland,Garland,2.0
"Burgundy  , Blush , Sage",Scabiosa with blushing bride protea and seeded eucalyptus ,"Burgundy Scabiosa  , Blushing Bride Protea , Seeded Eucalyptus",s3.amazonaws.com/appforest_uf/f1630634406685x436896342997408240/Grant%20Daniels%20Photography-Folsom-boutonniere.jpeg,,Fall boutonnière ,Boutonnieres,1.0
,,"White dried African Sunflowers , Bleached babies breath  , Dry Mini Chrysantemum , Bunny Tails Grass , Bleached Hydrangeas ",s3.amazonaws.com/appforest_uf/f1630634758341x111781511063242300/ElizabethWellsPhotography-e79a4eb20dfe4d3eb80b1a42c1c5c246.jpeg,,Boho Wrist Corsage ,Corsage,3.0
"Burgundy  , White , Terracota , chocolate , Champagne , Ivory , Mustard Yellow , Burgundy , Green","Fall Corsage with roses, scabies's, mini orange chrysanthemum, greenery accents ",,s3.amazonaws.com/appforest_uf/f1630640554582x789353924347534500/unnamed.jpeg,,Fall Corsages ,Corsage,2.0
"Sage , White",,Silver dollar ,s3.amazonaws.com/appforest_uf/f1630276762724x246940972040677900/Screen%20Shot%202021-08-29%20at%203.29.26%20PM.png,,Corsage,Corsage,3.0
"Apricot , Peach , Sage , White",Aisle flowers arrangements ,"Peach Ran unculus  , Cherry Brandy  , Vendela Roses  , Seeded Eucalyptus , Seeded Eucalyptus",s3.amazonaws.com/appforest_uf/f1630990315640x151809080487945730/Screen%20Shot%202021-09-06%20at%209.49.48%20PM.png,,Aisle flowers arrangements ,Aisle Chairs,4.0
,Hanging greenery with touch of florals ,"Smilax Greenery  , Vendela Roses ",s3.amazonaws.com/appforest_uf/f1630992455537x215140231359064450/Screen%20Shot%202021-09-06%20at%2010.26.12%20PM.png,Hooks for hanging on the wall,Hanging greenery for the barn door ,Elevated,1.0
,,,s3.amazonaws.com/appforest_uf/f1630993320672x252384255123957660/B.%2BJones%2BPhotography.jpg,,,,0.0
,,,s3.amazonaws.com/appforest_uf/f1630993365001x703711398405261800/B.%2BJones%2BPhotography.jpg,,,,0.0
,10 ft Greenery garland ,"Huckleberry greenery  , Silver dollar  , Itallian Ruscus ",s3.amazonaws.com/appforest_uf/f1631033658155x519655180376950900/B.%2BJones%2BPhotography.jpg,,Bar Greenery Garland ,Garland,2.0
,,,,,,,0.0
"beige , Peach , Ivory , Blush , Sage , Pale Pink , Blush pink , Pale apricot , Sage green , Pink peach",Centerpiece with variety of blooms in a gold or silver vase. ,"Peach Ran unculus  , Sweet Escimo , Vendela Roses  , Silver dollar  , Pink Mondial  , Garden Juliet Peach Rose , (deleted thing)",s3.amazonaws.com/appforest_uf/f1631047421812x254384120365905180/c2VydmljZT1pbWFnZXMmc3JjPWh0dHBzJTNBJTJGJTJGY2hpY2Zsb3dlcnMubmV0JTJGd3AtY29udGVudCUyRnVwbG9hZHMlMkYyMDIxJTJGMDglMkZjZW50ZXJwaXNlLnBuZyZjYWNoZU1hcmtlcj0xNjI5ODEzNjk5LTcxMDI0NiZ0b2tlbj01ZjdkY2Q5YmM3ZjM4OTM4.q.png,Gold Compote vase from accent decor ,Short compote style vase,Short Arrangement,2.0
