Colors,Description,Flowers,Image,Misc items,Name,Type,Used
"Sage green , Pale green , Orange , Peach , Light Terracotta , Dark Terracotta , Milk Chocolate , Burgundy , Green","Terracotta roses, burgundy roses, orange roses, light peach roses, greenery","Vendela Roses  , White Lusianthus  , White dahlias , Silver dollar  , Eucalyptus Gunii  , White Scabiosa  , White Lusianthus  , White Ranunculus",s3.amazonaws.com/appforest_uf/f1634583464913x453321667723565000/FC7A8605.jpg,,Wedding Arch With A Corner Centerpiece ,Arch,1.0
"Blush pink , Pale apricot , Ivory , Pale green , Wine Red , Dark green , Green","Ivory roses, blush roses, chocolate roses, light peach ranunculus, burgundy roses, burgundy dahlias, greenery, plastic plate","Itallian Ruscus  , burgundy dahlia , Vendela Roses ",s3.amazonaws.com/appforest_uf/f1636487633154x576593803959930800/image.png,,Sweetheart table centerpiece,Sweetheart Table,8.0
,,,s3.amazonaws.com/appforest_uf/f1636487936386x179398954555181280/Screenshot%202021-11-09%20at%2011.56.26.png,,,,0.0
,,,s3.amazonaws.com/appforest_uf/f1636488028470x331721908982498560/Screenshot%202021-11-09%20at%2011.56.26.png,,,,0.0
"White , Green , Dark green","Greenery, white roses, 3 hurricane vases with floating candles ",,s3.amazonaws.com/appforest_uf/f1636488254490x834771627565374100/image.png,,Greenery Wreath With A Hint Of White Flowers,Short Arrangement,3.0
"White , Green","White roses, spray roses, garden sprays, greenery elements. In a a lush two stands design. the tallest part is 8,5 ft tall and teh lowest part is 6,5 ft tall. ","Vendela Roses  , Majolica Spray Roses  , Smilax Greenery  , Dave Austin White Garden Rose , Italian Ruscus",s3.amazonaws.com/appforest_uf/f1635269324244x590069942901438800/image.png,, Archway Stands With White Flowers And Greenery,Arch,7.0
"White , Sage green , Green",white ranunculus with greenery and flowers ,"White Ranunculus , White Astilbe  , Itallian Ruscus ",s3.amazonaws.com/appforest_uf/f1636601303796x959020806761167400/Screen%20Shot%202021-11-10%20at%207.27.40%20PM.png,Budvase,Budvase centerpiece ,Cocktail table,4.0
"Blush pink , White",,,s3.amazonaws.com/appforest_uf/f1636614749121x729219957939553500/image.png,,Ring Bearer Box,Kids Arrangement,1.0
,,,s3.amazonaws.com/appforest_uf/f1636615723002x592269595970933400/Screen%20Shot%202021-11-10%20at%204.39.47%20PM.png,,,,0.0
"Orange , Coral  , White , Peach , Coral pink , Ivory , Pale apricot , Sage green","White garden roses, peach garden roses, ivory garden roses, white ranunculus, coral ranunculus, ivory peonies, greenery",,s3.amazonaws.com/appforest_uf/f1636657527817x381521637878237600/image.png,,Peach and coral bridal bouquet,Bridal Bouquet,0.0
"Orange , White , Peach , Pale apricot , Sage green","Peach roses, white roses, white stock flowers, greenery",,s3.amazonaws.com/appforest_uf/f1636657742431x496844498377095230/image.png,,Peach aisle chair flowers,Aisle Chairs,4.0
"Orange , White , Peach , Pale apricot , Sage green","Peach roses, white roses, greenery",,s3.amazonaws.com/appforest_uf/f1636657742431x496844498377095230/image.png,,Peach aisle chair flowers,Aisle,0.0
"Blush pink , Ivory , Burgundy , Wine Red , Dark green","Blush roses, ivory roses, burgundy dahlias, burgundy roses, greenery, golden compote vase",,s3.amazonaws.com/appforest_uf/f1636661767309x702470639968119800/image.png,,Burgundy/blush short centerpice,Short Arrangement,2.0
"White , Cream , Oatmeal","Pampas grass, dried palm leave, baby's breath",,s3.amazonaws.com/appforest_uf/f1636662787910x221045152563571040/image.png,,Floor boho style centeripece ,Aisle,1.0
"White , Blush pink , Oatmeal , Ivory","White roses, blush roses, pampas grass, orchids",,s3.amazonaws.com/appforest_uf/f1636663436894x392747633202058050/image.png,,Boho style short centerpiece,Short Arrangement,0.0
"White , Blush pink , Sage green , Green","Burgundy roses, blush roses, greenery, golden julep vase",,s3.amazonaws.com/appforest_uf/f1636666759518x316565888656737700/image.png,,Burgundy cocktail table flowers,Cocktail table,1.0
"White , Pale Pink , Christmas Red , Burgundy , Dark green , Green","White roses, pale pink roses, burgundy roses, white hydrangeas, burgundy dahlias, greenery, tall stand",,s3.amazonaws.com/appforest_uf/f1636742107867x351061910180119550/image.png,,Tall centerpiece with burgundy and white flowers,Tall Arrangement,1.0
"White , Pale Pink , Burgundy , Dark green , Christmas Red","White hydrangea, dusty pink roses, white roses, burgundy dahlias, greenery",,s3.amazonaws.com/appforest_uf/f1636742595800x463907072734962560/image.png,,Tall centerpiece with burgundy and white flowers,Tall Arrangement,0.0
"White , Blush pink , Milk Chocolate","White roses, cappuccino roses, cala lilies, greenery",,s3.amazonaws.com/appforest_uf/f1636745025723x742888165385159800/image.png,,Floor centerpiece with roses,Aisle,1.0
"White , Blush pink , Milk Chocolate , Dark green","White roses, blush roses, cappuccino roses, greenery, plastic plate",,s3.amazonaws.com/appforest_uf/f1636745258065x528450707762766500/image.png,,Short centrepiece with cappuccino roses,Short Arrangement,0.0
,"Cappuccino roses, white roses, white stock flowers, bud vase",,s3.amazonaws.com/appforest_uf/f1636745419151x781424283022805800/image.png,,Bud vases with cappuccino roses,Short Arrangement,2.0
"Apricot , Peach , Emerald Green , White , Burgundy ",,"White Scabiosa  , Burgundy lisianthus , burgundy dahlia , Pampas Grass , Blush  Stock  , Eucalyptus Gunii  , Burgundy Astrania , Burgundy Astilbe , Peach Ran unculus ",s3.amazonaws.com/appforest_uf/f1630632244354x367915370309691140/Screen%20Shot%202021-09-02%20at%206.23.22%20PM.png,,Fall Garden Style Bouquet With No Roses ,Bridal Bouquet,0.0
"Ivory , Pale apricot , Christmas Red , Milk Chocolate , Dark green , Burgundy , Wine Red","Ivory mums, blush roses, cappuccino roses, burgundy roses, burgundy dahlias, dried greenery, pampas grass",,s3.amazonaws.com/appforest_uf/f1636746292361x310889833508455100/image.png,,Fall colors bridal bouquet,Bridal Bouquet,0.0
"White , Pale Pink , Blush pink , Sage green",,,s3.amazonaws.com/appforest_uf/f1634397680120x253583661184091600/Screenshot%202021-10-15%20at%2014.01.39.png,,Bud vases with white and blush flowers,Short Arrangement,0.0
,,,"s3.amazonaws.com/appforest_uf/f1636747255285x846222206113591500/image.png , //s3.amazonaws.com/appforest_uf/f1636747310944x158230954221806800/Screen%20Shot%202021-11-12%20at%2011.58.21%20AM.png , //s3.amazonaws.com/appforest_uf/f1636747316735x917303786010831200/Screen%20Shot%202021-11-12%20at%2011.58.21%20AM.png , //s3.amazonaws.com/appforest_uf/f1636747338751x690220835688832400/Screen%20Shot%202021-11-12%20at%2011.58.21%20AM.png",,,,0.0
"White , Green",White flowers and Olive leaves Bouquet,"olive leaves , White Peonies , Playa Blanca Rose",s3.amazonaws.com/appforest_uf/f1636747872820x461829647728956540/Screen%20Shot%202021-11-12%20at%2011.58.21%20AM.png,,White flowers and Olive leaves Bouquet,Bridesmaids Bouquet,10.0
"White , Green","White roses, greenery, hair comb",,s3.amazonaws.com/appforest_uf/f1636748749530x502103291915781760/image.png,,Hair comb with flowers,Hair Arrangement,3.0
,,,s3.amazonaws.com/appforest_uf/f1636748858560x892198466870631600/image.png,,,,0.0
White," white roses, a hint of light blue sweet peace, greenery",,s3.amazonaws.com/appforest_uf/f1636748946157x969318311419859600/image.png,, Tall Centerpiece Arrangement,Tall Arrangement,3.0
"White , Pale green",,"White Ranunculus , Eucalyptus Gunii ",s3.amazonaws.com/appforest_uf/f1634584121685x174830519420167140/FC7A8072.jpg,,$20 Cake flowers with white ranunculus and greenery touches ,Wedding cake,4.0
"White , Blush pink",,,s3.amazonaws.com/appforest_uf/f1631047799167x241855797740883700/c2VydmljZT1pbWFnZXMmc3JjPWh0dHBzJTNBJTJGJTJGY2hpY2Zsb3dlcnMubmV0JTJGd3AtY29udGVudCUyRnVwbG9hZHMlMkYyMDIxJTJGMDglMkZTY3JlZW5zaG90LTIwMjEtMDgtMjItYXQtMTMtMzEtMTAtQ29yc2FnZXMucG5nJmNhY2hlTWFya2VyPTE2Mjk4MjE0NDUtMTgyMjI4MiZ0b2tlbj00ZjRmYTdmZTRk.png,,$25 Wrist corsages,Corsage,16.0
White,,,s3.amazonaws.com/appforest_uf/f1634398096490x865815167593752700/Screenshot%202021-10-16%20at%2008.26.10.png,,$25 Flowers girl basket with petals,Kids Arrangement,33.0
"White , Sage green","White roses, greenery",,s3.amazonaws.com/appforest_uf/f1636751294511x727780955671319900/image.png,,Pew flowers,Aisle,5.0
"White , Pale green , Sage green , Green",,,s3.amazonaws.com/appforest_uf/f1636751731503x901330738825616000/image.png,,Bridesmaids bouquet $75,Bridal Bouquet,0.0
"White , Green","Wedding Bridal Bouquet with white ranunculus, white peonies, white sweet peas, Lunaria elements white wax flowers, white butterfly ranunculus ",White Ranunculus,s3.amazonaws.com/appforest_uf/f1636782791871x967830797263939700/image.png,,White Bouquet with minimal greenery ,Bridal Bouquet,1.0
,,,s3.amazonaws.com/appforest_uf/f1636782815007x993394064044069500/Screen%20Shot%202021-10-28%20at%204.58.22%20PM.png,,,,0.0
"White , Sage green",White Spray Rose Mini Boutonniere ,White Snowflake Spray Rose ,s3.amazonaws.com/appforest_uf/f1636785468582x629801566791829100/image.png,,Boutoniere ,Boutonnieres,89.0
,,,s3.amazonaws.com/appforest_uf/f1636785477815x997930303663312500/Screen%20Shot%202021-11-12%20at%2010.35.58%20PM.png,,,,0.0
"White , Blush pink , Sage green , Pale apricot , Cream","1 Backdrop (provided By The other Company) 
We will be only decorating with flowers. 
Crowling pieces with white flowers with touches of beige and greenery The Same Flowers Design as the 3 Standing Pieces
with 
2 Rectangular Stands top part decor 

2 Smaller Rectangular Stands top part decor ",,s3.amazonaws.com/appforest_uf/f1636786558154x227502285707350750/image.jpg,,Gold Backdrop ,Arch,0.0
,,,s3.amazonaws.com/appforest_uf/f1636868621122x227561212058678300/image.png,,,,0.0
"White , Green","Flowers and greenery for chupah (provided by rental company)b with florals and greenery throughout not covering completely. Smilax Greenery White roses, Ranunculus","Vendela Roses  , Smilax Greenery  , Whte Phialanopsis Orchid , White Ranunculus",s3.amazonaws.com/appforest_uf/f1636912401394x884656513164721100/Screen%20Shot%202021-11-13%20at%209.43.11%20PM.png,,Floral decor for 4 Post Chupah ,Arch,1.0
"White , Green","  Golden Stands Provided by the Rental company with trailing floral decor in White and greenery More On top Then bottom Part. 
   4 Golden Rectangular Posts floral decor 
2 Rectangular Posts Marble Decor. ","Playa Blanca Rose , White Ranunculus , White dahlias , Italian Ruscus",s3.amazonaws.com/appforest_uf/f1636914224109x267831820199977440/image0%20%283%29.jpeg,,Golden Stands Provided by the Rental company with trailing decor for the arch. ,Elevated,0.0
,White Orchids And Roses Decor ,"Playa Blanca Rose , Itallian Ruscus  , White wax flower",s3.amazonaws.com/appforest_uf/f1636914924985x876926466372658400/image.png,,Seating Chart Florals ,Welcome sign,3.0
"White , Black , Dark green","White anemones, white dahlias, white ranunculus, dark greenery",,s3.amazonaws.com/appforest_uf/f1636996334992x284098460045331360/Screenshot%202021-11-15%20at%2009.11.12.png,,Bridal bouquet with anemones,Bridal Bouquet,1.0
Black,Black compote vase rental,,s3.amazonaws.com/appforest_uf/f1636997786238x383236239524813700/image.png,,Black compote vase rental,Short Arrangement,0.0
Black,Black taper candles in a glass container,,s3.amazonaws.com/appforest_uf/f1636997996732x430401155570993500/image.png,,Black taper candles in a glass container,Short Arrangement,2.0
"Blush pink , Mauve , Burgundy , Green , Dark green","Blush roses, blush dahlias, burgundy dahlias, greenery",,s3.amazonaws.com/appforest_uf/f1637007255497x433211945891953660/image.png,,Bridal bouquet with mauve and burgundy flowers,Bridal Bouquet,0.0
"Pale Pink , White , Blush pink , Burgundy , Green","Burgundy dahlias, white dahlias, blush roses, ivory roses, greenery",,s3.amazonaws.com/appforest_uf/f1637007752810x731379778021372000/image.png,,Aisle chair flowers with a hint of burgundy,Aisle Chairs,1.0
White,"Taper candle, candle holder",,s3.amazonaws.com/appforest_uf/f1637008117878x413039996308171900/image.png,,White taper candle,Short Arrangement,0.0
,Golden taper candle holder rental,,s3.amazonaws.com/appforest_uf/f1637008193552x825952070498292400/image.png,,Golden taper candle holder,Short Arrangement,0.0
"White , Burgundy , Dark green","White roses, greenery, burgundy accents, plastic plate",,s3.amazonaws.com/appforest_uf/f1640821789759x799554020795393500/image.png,,Small flower centepiece,Short Arrangement,0.0
"Coral  , Yellow , Coral pink , Pale Pink , Green","Coral peonies, light pink peonies, coral roses, pink roses, yellow roses, greenery, rectangular wooden arch structure",,s3.amazonaws.com/appforest_uf/f1637012416308x903297603553099400/image.png,,Spring vibe wedding arch,Arch,0.0
"Fucsia , Orange",,,s3.amazonaws.com/appforest_uf/f1637012579742x762763268816253800/image.png,,Bright pink wedding arch,Arch,0.0
"White , Orange , Coral  , Coral pink , Green","Orange roses, yellow dahlias, white dahlias, white wild flowers, delphinium, greenery, plastic plate",,s3.amazonaws.com/appforest_uf/f1637012853717x938395501863337500/image.png,,Wild flowers aisle centerpiece,Aisle,5.0
"Coral  , Pale Pink , Coral pink , Yellow , Green","Pale pink dahlias, yellow dahlias, coral pink dahlias, wild flowers, greenery",,s3.amazonaws.com/appforest_uf/f1637013094531x606418233021829500/image.png,,Short centerpiece,Short Arrangement,0.0
"beige , deep green , Terracota , Chocolate , Sage , Green , Christmas Red , White , Burgundy , Sage green , Dark green , Pale green , Orange","Eucalyptus, burgundy dahlias, light orange dahlias, ivory roses",,s3.amazonaws.com/appforest_uf/f1637013755276x392805547924377700/image.png,,Greenery garland with flowers 8 ft long ,Garland,0.0
"Natural Green , White , Coral  , White , Coral pink , Sage green , Green","White roses, peach roses, coral roses, greenery, golden circle arch structure",,s3.amazonaws.com/appforest_uf/f1633796775546x776856513187232900/Screenshot%202021-10-09%20at%2009.23.33.png,,Circle arch with 2 centrepieces with coral flowers and greenery,Arch,3.0
"Coral  , White , Coral pink , Blush pink , Green","White roses, blush roses, white anemones,  coral ranunculus, spray roses, Dave Austin Juliet garden rose, greenery, golden compote vase with itallian ruscus greenery","Garden Juliet Peach Rose , Coral roses  , Peach Ran unculus  , Vendela Roses  , Sweet Escimo , Itallian Ruscus  , White Anemone",s3.amazonaws.com/appforest_uf/f1637090478064x386719635228436350/image.png,,Short centrepiece with pops of coral,Short Arrangement,0.0
"White , Sage green","White roses, greenery, clear bud vase",,s3.amazonaws.com/appforest_uf/f1637091933593x683517207700827800/image.png,,Bud vase with white flowers,Cocktail table,12.0
"White , Pale green , Sage green , Green","White roses, white stock flowers, greenery",,s3.amazonaws.com/appforest_uf/f1636751731503x901330738825616000/image.png,,Toss bouquet with white flowers ,Bridesmaids Bouquet,16.0
"White , Champagne , Baby blue , Sage green , Green","White hydrangeas, champagne roses, white roses, white stock flowers, blue delphinium, greenery, tall stand",,s3.amazonaws.com/appforest_uf/f1637097511172x742575185820793900/image.png,,Tall centrepiece with a hint of blue,Tall Arrangement,0.0
"White , Sage green , Green","White roses, greenery, wooden rectangular arch structure",,s3.amazonaws.com/appforest_uf/f1637099085503x352457971605027140/image.png,,Wooden rectangular arch with white flowers and greenery,Arch,4.0
,Tall centrepiece silver vase rental,,s3.amazonaws.com/appforest_uf/f1637099574815x463645101257409860/image.png,,Tall centrepiece silver vase,Tall Arrangement,0.0
,,,s3.amazonaws.com/appforest_uf/f1637125663833x778134880129367000/image.png,,,,0.0
"White , Ivory","28 ft wide Backdrop structure fully covered in flowers: White roses, white garden roses, orchids, white spray roses, hydrangeas","Vendela Roses  , White Hydrangeas , Playa Blanca Rose , Majolica Spray Roses ",s3.amazonaws.com/appforest_uf/f1637126721508x379662713650699400/image.png,,White Fully Covered in Flowers Backdrop,Arch,0.0
"White , Ivory","Floral arrangements for the stairs with roses, garden roses, hydrangeas to cover the bottom and top of railing. ","White Hydrangeas , Playa Blanca Rose , Vendela Roses  , White Dendrobium orchid ",s3.amazonaws.com/appforest_uf/f1637129562364x646776751608273200/image.png,,Stairs decor with flowers arrangement,Elevated,3.0
,,"Playa Blanca Rose , White Bombastic , Whte Phialanopsis Orchid",s3.amazonaws.com/appforest_uf/f1637129818024x897636216097546200/image.png,,Sweetheart Table Floral Drape ,Sweetheart Table,3.0
White,"15 candles mix of Tall and short ones with 
    5 floral centerpieces around them. ",,s3.amazonaws.com/appforest_uf/f1637130068616x448582298835858750/image.png,,Candles Centerpiece ,Short Arrangement,21.0
"White , Ivory","White fluffy centerpieces with white hydrangeas, white roses, white garden roses, orchids ",,s3.amazonaws.com/appforest_uf/f1637130421869x765774804192781400/image.png,,Bar centerpieces ,Short Arrangement,0.0
White,400 hanging candles with mini vases over the family table 20 ft long,,s3.amazonaws.com/appforest_uf/f1637130631357x867883165995361200/image.png,,hanging candles ceiling ,Elevated,3.0
White,"White Phialanopsis, white garden roses, peonies Bridal Bouquet ","Whte Phialanopsis Orchid , Dave Austin White Garden Rose , White Peonies , Playa Blanca Rose",s3.amazonaws.com/appforest_uf/f1637213341831x311525691578871800/image.jpg,,Cascading Bridal Bouquet,Bridal Bouquet,0.0
White,White Hydrangeas Bouquets ,White hydrangeas,s3.amazonaws.com/appforest_uf/f1637213470117x954944288397423500/image.jpg,,White Hydrangeas Bridesmaids Bouquets ,Bridesmaids Bouquet,4.0
White,"80 ft aisle flower arrangements 40 ft on both sides with white delphinium, white dendrobium, white roses ",,s3.amazonaws.com/appforest_uf/f1637214863186x951333616776354200/image.png,,Aisle flowers ,Aisle,9.0
"Coral  , Champagne , Blush pink , White","Peach and coral touches with quicksand roses, greenery elements in a compote style vases ",,s3.amazonaws.com/appforest_uf/f1637261403309x491778750676941100/image.png,,Short coral centrepiece ,Short Arrangement,1.0
,Smaller version of table centrepiece ,,s3.amazonaws.com/appforest_uf/f1637261454352x131468335643094130/image.png,,Short centrepiece for dessert table ,Wedding cake,0.0
,"White roses, touch of greenery",,s3.amazonaws.com/appforest_uf/f1637260743674x402641363994335360/Screenshot%202021-11-18%20at%2010.37.59.png,,Bridal Bouquet,Bridal Bouquet,0.0
"White , Blush pink , Sage green , Peach , Coral pink , Green","More loose, not too tight. Blush roses, white roses, ivory roses, hint of coral and peach, greenery",,s3.amazonaws.com/appforest_uf/f1637261983844x449627229997033660/image.png,,Flowers and greenery for the circle arch,Arch,4.0
,"Rose petals, paper cones, colors of petals to TBD",,s3.amazonaws.com/appforest_uf/f1636409263151x187896086860561920/image.png,,Paper cone with rose petals,Aisle,5.0
"White , Green","White roses, greenery",,s3.amazonaws.com/appforest_uf/f1637264755141x595976253168277200/image.png,,Welcome sign garland with white roses,Welcome sign,31.0
"White , Pale Pink , Lavender","White roses, lavandar roses, pale pink peonies, hint of greenery",,s3.amazonaws.com/appforest_uf/f1637265309649x151186215516913920/image.png,,Lavandar bridesmaid bouquet,Bridesmaids Bouquet,3.0
"White , Pale Pink","White roses, white ranunculus, light pink peonies, lavandar roses, lavandar, hint of greenery",,s3.amazonaws.com/appforest_uf/f1637265575133x737065323865154000/image.png,,Round bridal bouquet with a hint of lavander,Bridal Bouquet,2.0
White,White roses,,s3.amazonaws.com/appforest_uf/f1637266074621x952994687413142800/image.png,,Flower decor for the wedding arch,Arch,1.0
White,White roses,,s3.amazonaws.com/appforest_uf/f1637266243984x589765398326619800/image.png,,White round bridal bouquet,Bridal Bouquet,15.0
"White , Lavender , Sage green","White rose, lavandar, greenery",,s3.amazonaws.com/appforest_uf/f1637266443247x562645653671500540/image.png,,Boutonniere with a hint of lavandar,Boutonnieres,5.0
"White , Green","White roses, greenery",,s3.amazonaws.com/appforest_uf/f1637266869708x319833713548346700/image.png,,White roses and greenery for the cake,Wedding cake,3.0
White,"White roses, clear vase",,s3.amazonaws.com/appforest_uf/f1637267040882x723352631548031200/image.png,,White roses centerpiece,Short Arrangement,1.0
"White , Lavender , Green , Sage green","White roses, lavender roses, greenery",,s3.amazonaws.com/appforest_uf/f1637267420190x651688949065572000/image.png,,Lavender roses garland,Welcome sign,0.0
"White , Lavender , Sage green , Green","White roses, lavandar roses, greenery",,s3.amazonaws.com/appforest_uf/f1637267561078x234487225208292800/image.png,,8ft greenery garland with white and lavandar roses,Garland,0.0
"Dark green , Green , White",Smilax greenery placed next to the each candle,,s3.amazonaws.com/appforest_uf/f1634672110456x200852232541836480/Screenshot%202021-10-19%20at%2012.33.50.png,,Smilax Greenery for short arragement,Aisle,0.0
"White , Orange , Burgundy","White roses, burgundy roses, burgundy ranunculus, dark orange ranunculus, anemones",,s3.amazonaws.com/appforest_uf/f1637349007028x278221627164088030/image.png,,Moody vibe cake flowers,Wedding cake,0.0
"Peach , Coral pink , Blush pink , Burgundy , Green , Dark green","Burgundy roses, burgundy dahlias, peach roses, blush roses, white roses, dark greenery",,s3.amazonaws.com/appforest_uf/f1637348326574x379094781854531400/image.png,,Flower decor for the wedding arch,Arch,9.0
White,"Votive candle, golden container",,s3.amazonaws.com/appforest_uf/f1637349327911x240871592218874430/image.png,,Votive Candle in golden containers,Short Arrangement,1.0
"White , Cream , Blush pink , Ivory , Light Beige , Oatmeal","White roses, blush roses, cream/ivory roses, dried greenery, pampas grass",,s3.amazonaws.com/appforest_uf/f1637354089042x408814007391798500/image.png,,Blush and cream boho style bridal bouquet,Bridal Bouquet,0.0
"White , Cream , Blush pink , Ivory , Light Beige , Oatmeal","White roses, blush roses, chocolate roses, dried greenery, pampas grass",,s3.amazonaws.com/appforest_uf/f1637354250146x394592494619017200/image.png,,Blush and chocolate boho style bridal bouquet,Bridal Bouquet,0.0
"White , Cream , Blush pink , Ivory , Light Beige , Oatmeal","White roses, chocolate roses, white orchids, dried greenery, greenery",,s3.amazonaws.com/appforest_uf/f1637354396426x970626675283842600/image.png,,White and chocolate boho style bridal bouquet,Bridal Bouquet,2.0
,"Flowers and greenery collar, color TBD, adjustable size",,s3.amazonaws.com/appforest_uf/f1637609198826x292699146516747900/image.png,,Dog's flower collar,Kids Arrangement,3.0
"White , Blush pink , Green","Circle chandelier structure, greenery, flowers, colors TBD",,s3.amazonaws.com/appforest_uf/f1637609516780x660441568444174200/image.png,,Flower and greenery chandelier,Elevated,0.0
"White , Coral  , Peach , Pink peach","Peach ranunculus, blush ranunculus, white lisianthus, greenery",,s3.amazonaws.com/appforest_uf/f1637612421209x594712088184687500/image.png,,Peach and blush bridal bouquet,Bridal Bouquet,4.0
"White , Cream , Oatmeal , Sage green , Milk Chocolate","Cappuccino roses, white roses, pampas grass, greenery, plastic plate",,s3.amazonaws.com/appforest_uf/f1637613477832x467603699990133400/image.png,,Aisle floor centrepiece with pampas grass,Aisle,1.0
"White , Blush pink , Pale apricot , Oatmeal , Sage green","White stock flowers, peach garden roses, blush roses, pampas grass, greenery, plastic plate",,s3.amazonaws.com/appforest_uf/f1637613760770x854186325080036700/image.png,,Aisle floor centrepiece with pampas grass,Aisle,0.0
"White , Ivory , Oatmeal","2 Centrepieces with pampas grass, ivory roses, chocolate roses, greenery, circle arch structure",,s3.amazonaws.com/appforest_uf/f1636397064018x951537084490417800/image.png,,Circle arch with 2 centerpieces,Arch,2.0
"White , Sage green , Green , Dark green","White garden roses, white ranunculus, greenery, golden compote vase",,s3.amazonaws.com/appforest_uf/f1638041091538x515065069368547000/image.jpg,,White flowers and greenery in compote vase,Short Arrangement,3.0
,,,s3.amazonaws.com/appforest_uf/f1638080115529x332335207767668200/Angelus-Stone-Antique-Cobble-Terra-Cotta-Brown-1.jpg,,,,0.0
,Golden stand rental,,s3.amazonaws.com/appforest_uf/f1638212430742x120443136828389800/image.png,,Golden stand rental,Tall Arrangement,0.0
White,"Baby's breath bouquets, ribbon",,s3.amazonaws.com/appforest_uf/f1638213114501x527540866105539650/image.png,,Baby's breath aisle chairs,Aisle Chairs,4.0
"White , Light Dusty blue , Green","White roses, white stock flowers, blue delphinium, greenery, bud vase",,s3.amazonaws.com/appforest_uf/f1638222261948x489766771992705000/image.png,,Bud vases with blue and white flowers,Short Arrangement,3.0
"Baby pink , White , Pale Pink , Pink peach","Peach color Calla lilies, Pink Astilbe",,s3.amazonaws.com/appforest_uf/f1638470042985x452806011825856300/image.png,,"Peach color Calla, Pink Astilbe bridal bouquet",Bridal Bouquet,11.0
"Coral  , Peach , Green","Peach roses, greenery, bracelet",,s3.amazonaws.com/appforest_uf/f1638224320918x410368097113293700/image.png,,Peach roses corsages,Corsage,4.0
"White , Light Dusty blue , Dark dusty blue , Baby blue","Blue thistles, blue delphinium, white hydrangea, golden compote vase",,s3.amazonaws.com/appforest_uf/f1638225172435x844652427362738400/image.png,,"Blue thistles, blue delphinium, white hydrangea",Short Arrangement,2.0
"White , Green","Full flowers and greenery decor for the wedding arch. White roses, white hydrangeas, greenery.",,s3.amazonaws.com/appforest_uf/f1638296182980x248758533908181700/image.png,,Full white flowers and greenery decor for the wedding arch,Arch,2.0
,Smaller version of the bridal bouquet,,s3.amazonaws.com/appforest_uf/f1638298770769x903352800780378100/image.png,,Bridesmaid bouquet,Bridesmaids Bouquet,8.0
"White , Pale Pink , Blush pink","Mauve roses, blush roses, ivory roses, white stock flowers, greenery, garden roses, golden compote vase",,s3.amazonaws.com/appforest_uf/f1638300134733x174904823037003170/image.png,,Mauve and blush short centerpiece,Short Arrangement,0.0
"Natural Green , White , Coral  , White , Sage green , Green","2 centrepieces for the wedding arch: white roses, white hydrangeas, greenery",,s3.amazonaws.com/appforest_uf/f1638481692636x454878267777176800/Screenshot%202021-11-30%20at%2011.57.31.png,,2 Centrepieces with white flowers and greenery,Arch,1.0
"Orange , Coral  , White , Emerald green","White calla lilies, orange calla lilies, white ranunculus, orange ranunculus, birds of paradise, tropical greenery",,s3.amazonaws.com/appforest_uf/f1638307593278x775588535600433500/image.png,,Tropical bridal bouquet,Bridal Bouquet,3.0
Burgundy,Burgundy calla lilies,,s3.amazonaws.com/appforest_uf/f1638468525162x997542724095514400/image.png,,Burgundy calla lilies bridesmaid bouquet,Bridesmaids Bouquet,0.0
"Coral  , Fucsia , Peach , Coral pink , Emerald green","Coral calla lilies, light pink calla lilies, tropical greenery, rectangular arch structure, No chiffon",,s3.amazonaws.com/appforest_uf/f1638469190610x869739245282522800/image.png,,Rectangular arch with tropical greenery and calla lilies,Arch,0.0
"White , Cream , Ivory , Oatmeal","White garden roses, white ranunculus, ivory ranunculus, bleached dried flowers and greenery",,s3.amazonaws.com/appforest_uf/f1638474857640x771179455304282800/image.png,,White bridal bouquet,Bridal Bouquet,2.0
"White , Cream , Ivory , Light Beige , Oatmeal , Milk Chocolate","White calla lilies, quicksand roses, white orchids, white roses, ivory roses, bleached greenery, 2 golden stands",,s3.amazonaws.com/appforest_uf/f1638475785118x136468589198468270/Screenshot%202021-12-02%20at%2012.08.32.png,,2 Tall aisle centrepieces with white and chocolate flowers,Aisle,1.0
"White , Cream , Ivory , Light Beige , Oatmeal , Milk Chocolate","White orchids, quicksand roses, blush roses, ivory roses, greenery, 2 plastic plates",,s3.amazonaws.com/appforest_uf/f1638475986562x528414202691699840/image.png,,"2 Centrepieces with white, blush and chocolate flowers",Aisle,0.0
"Pale Pink , White , Cream , Light Beige , Ivory , Oatmeal","White roses, cappuccino roses, pampas grass, dried bleached greenery and flowers, plastic plate","Babies Breath , Sweet Escimo , Carmel Carnation ",s3.amazonaws.com/appforest_uf/f1638476457885x851104550171880600/image.png,,White and ivory floor centrepiece for the beginning of the aisle,Aisle,2.0
"Cream , Ivory , Pale apricot , Oatmeal , Light Beige , Milk Chocolate","Cream roses,  dried palm leaves, quicksand roses, rust accents ",,s3.amazonaws.com/appforest_uf/f1638477551328x904936593859970400/image.png,,Short centrepiece with white and cappuccino roses,Short Arrangement,1.0
"White , White","Silver container rental, votive candle",,s3.amazonaws.com/appforest_uf/f1638478102022x660810657785147800/Screenshot%202021-12-02%20at%2012.47.19.png,,Votive Candle in golden containers,Short Arrangement,2.0
