Colors,Description,Flowers,Image,Misc items,Name,type_id,Used,
"White , Sage green","White roses, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1636751294511x727780955671319900.png,,Pew flowers,Aisle,5,
"White , Pale green , Sage green , Green",,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1636751731503x901330738825616000.png,,Bridesmaids bouquet $75,Bridal Bouquet,0,
"White , Green","Wedding Bridal Bouquet with white ranunculus, white peonies, white sweet peas, Lunaria elements white wax flowers, white butterfly ranunculus ",White Ranunculus,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1636782791871x967830797263939700.png,,White Bouquet with minimal greenery ,Bridal Bouquet,1,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1636782815007x993394064044069500.png,,,,0,
"White , Sage green",White Spray Rose Mini Boutonniere ,White Snowflake Spray Rose ,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1636785468582x629801566791829100.png,,Boutoniere ,Boutonnieres,89,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1636785477815x997930303663312500.png,,,,0,
"White , Blush pink , Sage green , Pale apricot , Cream","1 Backdrop (provided By The other Company) 
We will be only decorating with flowers. 
Crowling pieces with white flowers with touches of beige and greenery The Same Flowers Design as the 3 Standing Pieces
with 
2 Rectangular Stands top part decor 

2 Smaller Rectangular Stands top part decor ",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1636786558154x227502285707350750.jpg,,Gold Backdrop ,Arch,0,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1636868621122x227561212058678300.png,,,,0,
"White , Green","Flowers and greenery for chupah (provided by rental company)b with florals and greenery throughout not covering completely. Smilax Greenery White roses, Ranunculus","Vendela Roses  , Smilax Greenery  , Whte Phialanopsis Orchid , White Ranunculus",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1636912401394x884656513164721100.png,,Floral decor for 4 Post Chupah ,Arch,1,
"White , Green","  Golden Stands Provided by the Rental company with trailing floral decor in White and greenery More On top Then bottom Part. 
   4 Golden Rectangular Posts floral decor 
2 Rectangular Posts Marble Decor. ","Playa Blanca Rose , White Ranunculus , White dahlias , Italian Ruscus",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1636914224109x267831820199977440.jpeg,,Golden Stands Provided by the Rental company with trailing decor for the arch. ,Elevated,0,
,White Orchids And Roses Decor ,"Playa Blanca Rose , Itallian Ruscus  , White wax flower",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1636914924985x876926466372658400.png,,Seating Chart Florals ,Welcome sign,3,
"White , Black , Dark green","White anemones, white dahlias, white ranunculus, dark greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1636996334992x284098460045331360.png,,Bridal bouquet with anemones,Bridal Bouquet,1,
Black,Black compote vase rental,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1636997786238x383236239524813700.png,,Black compote vase rental,Short Arrangement,0,
Black,Black taper candles in a glass container,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1636997996732x430401155570993500.png,,Black taper candles in a glass container,Short Arrangement,2,
"Blush pink , Mauve , Burgundy , Green , Dark green","Blush roses, blush dahlias, burgundy dahlias, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637007255497x433211945891953660.png,,Bridal bouquet with mauve and burgundy flowers,Bridal Bouquet,0,
"Pale Pink , White , Blush pink , Burgundy , Green","Burgundy dahlias, white dahlias, blush roses, ivory roses, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637007752810x731379778021372000.png,,Aisle chair flowers with a hint of burgundy,Aisle Chairs,1,
White,"Taper candle, candle holder",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637008117878x413039996308171900.png,,White taper candle,Short Arrangement,0,
,Golden taper candle holder rental,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637008193552x825952070498292400.png,,Golden taper candle holder,Short Arrangement,0,
"White , Burgundy , Dark green","White roses, greenery, burgundy accents, plastic plate",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1640821789759x799554020795393500.png,,Small flower centepiece,Short Arrangement,0,
"Coral  , Yellow , Coral pink , Pale Pink , Green","Coral peonies, light pink peonies, coral roses, pink roses, yellow roses, greenery, rectangular wooden arch structure",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637012416308x903297603553099400.png,,Spring vibe wedding arch,Arch,0,
"Fucsia , Orange",,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637012579742x762763268816253800.png,,Bright pink wedding arch,Arch,0,
"White , Orange , Coral  , Coral pink , Green","Orange roses, yellow dahlias, white dahlias, white wild flowers, delphinium, greenery, plastic plate",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637012853717x938395501863337500.png,,Wild flowers aisle centerpiece,Aisle,5,
"Coral  , Pale Pink , Coral pink , Yellow , Green","Pale pink dahlias, yellow dahlias, coral pink dahlias, wild flowers, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637013094531x606418233021829500.png,,Short centerpiece,Short Arrangement,0,
"beige , deep green , Terracota , Chocolate , Sage , Green , Christmas Red , White , Burgundy , Sage green , Dark green , Pale green , Orange","Eucalyptus, burgundy dahlias, light orange dahlias, ivory roses",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637013755276x392805547924377700.png,,Greenery garland with flowers 8 ft long ,Garland,0,
"Natural Green , White , Coral  , White , Coral pink , Sage green , Green","White roses, peach roses, coral roses, greenery, golden circle arch structure",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1633796775546x776856513187232900.png,,Circle arch with 2 centrepieces with coral flowers and greenery,Arch,3,
"Coral  , White , Coral pink , Blush pink , Green","White roses, blush roses, white anemones,  coral ranunculus, spray roses, Dave Austin Juliet garden rose, greenery, golden compote vase with itallian ruscus greenery","Garden Juliet Peach Rose , Coral roses  , Peach Ran unculus  , Vendela Roses  , Sweet Escimo , Itallian Ruscus  , White Anemone",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637090478064x386719635228436350.png,,Short centrepiece with pops of coral,Short Arrangement,0,
"White , Sage green","White roses, greenery, clear bud vase",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637091933593x683517207700827800.png,,Bud vase with white flowers,Cocktail table,12,
"White , Pale green , Sage green , Green","White roses, white stock flowers, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1636751731503x901330738825616000.png,,Toss bouquet with white flowers ,Bridesmaids Bouquet,16,
"White , Champagne , Baby blue , Sage green , Green","White hydrangeas, champagne roses, white roses, white stock flowers, blue delphinium, greenery, tall stand",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637097511172x742575185820793900.png,,Tall centrepiece with a hint of blue,Tall Arrangement,0,
"White , Sage green , Green","White roses, greenery, wooden rectangular arch structure",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637099085503x352457971605027140.png,,Wooden rectangular arch with white flowers and greenery,Arch,4,
,Tall centrepiece silver vase rental,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637099574815x463645101257409860.png,,Tall centrepiece silver vase,Tall Arrangement,0,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637125663833x778134880129367000.png,,,,0,
"White , Ivory","28 ft wide Backdrop structure fully covered in flowers: White roses, white garden roses, orchids, white spray roses, hydrangeas","Vendela Roses  , White Hydrangeas , Playa Blanca Rose , Majolica Spray Roses ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637126721508x379662713650699400.png,,White Fully Covered in Flowers Backdrop,Arch,0,
"White , Ivory","Floral arrangements for the stairs with roses, garden roses, hydrangeas to cover the bottom and top of railing. ","White Hydrangeas , Playa Blanca Rose , Vendela Roses  , White Dendrobium orchid ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637129562364x646776751608273200.png,,Stairs decor with flowers arrangement,Elevated,3,
,,"Playa Blanca Rose , White Bombastic , Whte Phialanopsis Orchid",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637129818024x897636216097546200.png,,Sweetheart Table Floral Drape ,Sweetheart Table,3,
White,"15 candles mix of Tall and short ones with 
    5 floral centerpieces around them. ",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637130068616x448582298835858750.png,,Candles Centerpiece ,Short Arrangement,21,
"White , Ivory","White fluffy centerpieces with white hydrangeas, white roses, white garden roses, orchids ",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637130421869x765774804192781400.png,,Bar centerpieces ,Short Arrangement,0,
White,400 hanging candles with mini vases over the family table 20 ft long,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637130631357x867883165995361200.png,,hanging candles ceiling ,Elevated,3,
White,"White Phialanopsis, white garden roses, peonies Bridal Bouquet ","Whte Phialanopsis Orchid , Dave Austin White Garden Rose , White Peonies , Playa Blanca Rose",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637213341831x311525691578871800.jpg,,Cascading Bridal Bouquet,Bridal Bouquet,0,
White,White Hydrangeas Bouquets ,White hydrangeas,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637213470117x954944288397423500.jpg,,White Hydrangeas Bridesmaids Bouquets ,Bridesmaids Bouquet,4,
White,"80 ft aisle flower arrangements 40 ft on both sides with white delphinium, white dendrobium, white roses ",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637214863186x951333616776354200.png,,Aisle flowers ,Aisle,9,
"Coral  , Champagne , Blush pink , White","Peach and coral touches with quicksand roses, greenery elements in a compote style vases ",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637261403309x491778750676941100.png,,Short coral centrepiece ,Short Arrangement,1,
,Smaller version of table centrepiece ,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637261454352x131468335643094130.png,,Short centrepiece for dessert table ,Wedding cake,0,
,"White roses, touch of greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637260743674x402641363994335360.png,,Bridal Bouquet,Bridal Bouquet,0,
"White , Blush pink , Sage green , Peach , Coral pink , Green","More loose, not too tight. Blush roses, white roses, ivory roses, hint of coral and peach, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637261983844x449627229997033660.png,,Flowers and greenery for the circle arch,Arch,4,
,"Rose petals, paper cones, colors of petals to TBD",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1636409263151x187896086860561920.png,,Paper cone with rose petals,Aisle,5,
"White , Green","White roses, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637264755141x595976253168277200.png,,Welcome sign garland with white roses,Welcome sign,31,
"White , Pale Pink , Lavender","White roses, lavandar roses, pale pink peonies, hint of greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637265309649x151186215516913920.png,,Lavandar bridesmaid bouquet,Bridesmaids Bouquet,3,
"White , Pale Pink","White roses, white ranunculus, light pink peonies, lavandar roses, lavandar, hint of greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637265575133x737065323865154000.png,,Round bridal bouquet with a hint of lavander,Bridal Bouquet,2,
White,White roses,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637266074621x952994687413142800.png,,Flower decor for the wedding arch,Arch,1,
White,White roses,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637266243984x589765398326619800.png,,White round bridal bouquet,Bridal Bouquet,15,
"White , Lavender , Sage green","White rose, lavandar, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637266443247x562645653671500540.png,,Boutonniere with a hint of lavandar,Boutonnieres,5,
"White , Green","White roses, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637266869708x319833713548346700.png,,White roses and greenery for the cake,Wedding cake,3,
White,"White roses, clear vase",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637267040882x723352631548031200.png,,White roses centerpiece,Short Arrangement,1,
"White , Lavender , Green , Sage green","White roses, lavender roses, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637267420190x651688949065572000.png,,Lavender roses garland,Welcome sign,0,
"White , Lavender , Sage green , Green","White roses, lavandar roses, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637267561078x234487225208292800.png,,8ft greenery garland with white and lavandar roses,Garland,0,
"Dark green , Green , White",Smilax greenery placed next to the each candle,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1634672110456x200852232541836480.png,,Smilax Greenery for short arragement,Aisle,0,
"White , Orange , Burgundy","White roses, burgundy roses, burgundy ranunculus, dark orange ranunculus, anemones",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637349007028x278221627164088030.png,,Moody vibe cake flowers,Wedding cake,0,
"Peach , Coral pink , Blush pink , Burgundy , Green , Dark green","Burgundy roses, burgundy dahlias, peach roses, blush roses, white roses, dark greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637348326574x379094781854531400.png,,Flower decor for the wedding arch,Arch,9,
White,"Votive candle, golden container",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637349327911x240871592218874430.png,,Votive Candle in golden containers,Short Arrangement,1,
"White , Cream , Blush pink , Ivory , Light Beige , Oatmeal","White roses, blush roses, cream/ivory roses, dried greenery, pampas grass",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637354089042x408814007391798500.png,,Blush and cream boho style bridal bouquet,Bridal Bouquet,0,
"White , Cream , Blush pink , Ivory , Light Beige , Oatmeal","White roses, blush roses, chocolate roses, dried greenery, pampas grass",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637354250146x394592494619017200.png,,Blush and chocolate boho style bridal bouquet,Bridal Bouquet,0,
"White , Cream , Blush pink , Ivory , Light Beige , Oatmeal","White roses, chocolate roses, white orchids, dried greenery, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637354396426x970626675283842600.png,,White and chocolate boho style bridal bouquet,Bridal Bouquet,2,
,"Flowers and greenery collar, color TBD, adjustable size",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637609198826x292699146516747900.png,,Dog's flower collar,Kids Arrangement,3,
"White , Blush pink , Green","Circle chandelier structure, greenery, flowers, colors TBD",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637609516780x660441568444174200.png,,Flower and greenery chandelier,Elevated,0,
"White , Coral  , Peach , Pink peach","Peach ranunculus, blush ranunculus, white lisianthus, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637612421209x594712088184687500.png,,Peach and blush bridal bouquet,Bridal Bouquet,4,
"White , Cream , Oatmeal , Sage green , Milk Chocolate","Cappuccino roses, white roses, pampas grass, greenery, plastic plate",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637613477832x467603699990133400.png,,Aisle floor centrepiece with pampas grass,Aisle,1,
"White , Blush pink , Pale apricot , Oatmeal , Sage green","White stock flowers, peach garden roses, blush roses, pampas grass, greenery, plastic plate",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1637613760770x854186325080036700.png,,Aisle floor centrepiece with pampas grass,Aisle,0,
"White , Ivory , Oatmeal","2 Centrepieces with pampas grass, ivory roses, chocolate roses, greenery, circle arch structure",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1636397064018x951537084490417800.png,,Circle arch with 2 centerpieces,Arch,2,
"White , Sage green , Green , Dark green","White garden roses, white ranunculus, greenery, golden compote vase",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638041091538x515065069368547000.jpg,,White flowers and greenery in compote vase,Short Arrangement,3,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638080115529x332335207767668200.jpg,,,,0,
,Golden stand rental,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638212430742x120443136828389800.png,,Golden stand rental,Tall Arrangement,0,
White,"Baby's breath bouquets, ribbon",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638213114501x527540866105539650.png,,Baby's breath aisle chairs,Aisle Chairs,4,
"White , Light Dusty blue , Green","White roses, white stock flowers, blue delphinium, greenery, bud vase",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638222261948x489766771992705000.png,,Bud vases with blue and white flowers,Short Arrangement,3,
"Baby pink , White , Pale Pink , Pink peach","Peach color Calla lilies, Pink Astilbe",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638470042985x452806011825856300.png,,"Peach color Calla, Pink Astilbe bridal bouquet",Bridal Bouquet,11,
"Coral  , Peach , Green","Peach roses, greenery, bracelet",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638224320918x410368097113293700.png,,Peach roses corsages,Corsage,4,
"White , Light Dusty blue , Dark dusty blue , Baby blue","Blue thistles, blue delphinium, white hydrangea, golden compote vase",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638225172435x844652427362738400.png,,"Blue thistles, blue delphinium, white hydrangea",Short Arrangement,2,
"White , Green","Full flowers and greenery decor for the wedding arch. White roses, white hydrangeas, greenery.",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638296182980x248758533908181700.png,,Full white flowers and greenery decor for the wedding arch,Arch,2,
,Smaller version of the bridal bouquet,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638298770769x903352800780378100.png,,Bridesmaid bouquet,Bridesmaids Bouquet,8,
"White , Pale Pink , Blush pink","Mauve roses, blush roses, ivory roses, white stock flowers, greenery, garden roses, golden compote vase",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638300134733x174904823037003170.png,,Mauve and blush short centerpiece,Short Arrangement,0,
"Natural Green , White , Coral  , White , Sage green , Green","2 centrepieces for the wedding arch: white roses, white hydrangeas, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638481692636x454878267777176800.png,,2 Centrepieces with white flowers and greenery,Arch,1,
"Orange , Coral  , White , Emerald green","White calla lilies, orange calla lilies, white ranunculus, orange ranunculus, birds of paradise, tropical greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638307593278x775588535600433500.png,,Tropical bridal bouquet,Bridal Bouquet,3,
Burgundy,Burgundy calla lilies,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638468525162x997542724095514400.png,,Burgundy calla lilies bridesmaid bouquet,Bridesmaids Bouquet,0,
"Coral  , Fucsia , Peach , Coral pink , Emerald green","Coral calla lilies, light pink calla lilies, tropical greenery, rectangular arch structure, No chiffon",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638469190610x869739245282522800.png,,Rectangular arch with tropical greenery and calla lilies,Arch,0,
"White , Cream , Ivory , Oatmeal","White garden roses, white ranunculus, ivory ranunculus, bleached dried flowers and greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638474857640x771179455304282800.png,,White bridal bouquet,Bridal Bouquet,2,
"White , Cream , Ivory , Light Beige , Oatmeal , Milk Chocolate","White calla lilies, quicksand roses, white orchids, white roses, ivory roses, bleached greenery, 2 golden stands",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638475785118x136468589198468270.png,,2 Tall aisle centrepieces with white and chocolate flowers,Aisle,1,
"White , Cream , Ivory , Light Beige , Oatmeal , Milk Chocolate","White orchids, quicksand roses, blush roses, ivory roses, greenery, 2 plastic plates",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638475986562x528414202691699840.png,,"2 Centrepieces with white, blush and chocolate flowers",Aisle,0,
"Pale Pink , White , Cream , Light Beige , Ivory , Oatmeal","White roses, cappuccino roses, pampas grass, dried bleached greenery and flowers, plastic plate","Babies Breath , Sweet Escimo , Carmel Carnation ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638476457885x851104550171880600.png,,White and ivory floor centrepiece for the beginning of the aisle,Aisle,2,
"Cream , Ivory , Pale apricot , Oatmeal , Light Beige , Milk Chocolate","Cream roses,  dried palm leaves, quicksand roses, rust accents ",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638477551328x904936593859970400.png,,Short centrepiece with white and cappuccino roses,Short Arrangement,1,
"White , White","Silver container rental, votive candle",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638478102022x660810657785147800.png,,Votive Candle in golden containers,Short Arrangement,2,
"Coral  , Baby pink , Yellow , Orange , Peach , Coral pink , Pale Pink , White , Dark dusty blue , Green","Bright peach roses, pink roses, light yellow roses, white roses, blue delphinium, greenery, golden compote vase",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638479604639x664212753762556400.png,,"Short centrepiece with bright peach, pink and blue flowers",Short Arrangement,1,
"Pale Pink , White , Blush pink , Peach , Pale apricot , Baby blue , Sage green , Pink peach","Blue delphinium, peach peonies, light pink peonies, light pink roses, ivory ranunculus, peach ranunculus, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638479944569x942069830981422000.png,,"Blue, peach and pink Bridal Bouquet",Bridal Bouquet,1,
"Dark green , White , Coral ","Bird of paradise, white calla lily, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638481335366x945934997188668500.png,,Tropical boutonniere,Boutonnieres,5,
"Natural Green , White , Coral  , White , Sage green , Green , Coral pink , Emerald green","Coral cala lilies, white calla lilies, orchids, tropical greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638481748042x126029479542326240.png,,Full tropical decor for the circle arch,Arch,0,
"Pale Pink , White , Cream , Light Beige , Ivory , Oatmeal , Coral ","White calla lilies, coral calla lilies, white orchids, tropical greenery","Babies Breath , Sweet Escimo , Carmel Carnation ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638481876279x595241297105291000.png,,Tropical floor centrepiece for the beginning of the aisle,Aisle,0,
"Cream , Milk Chocolate , Champagne , Coral  , Peach , Coral pink , Emerald green","Peach dahlias, proteas, coral peonies, champagne ranunculus, champagne roses, tropical greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638555003401x540143252811598600.png,,Tropical short centerpiece,Short Arrangement,0,
"Coral  , Orange , Coral pink , Emerald green","Coral calla lilies, pink calla lilies, proteas, coral dahlias, tropical greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638555397341x723764703304831700.png,,Tropical sweetheart table,Sweetheart Table,0,
"White , Ivory , Cream , Light Beige , Oatmeal , Black","Anemones, white orchids, cream roses, dried greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638558222963x233887269309764000.png,,Boho monochrome sweetheart table flower garland,Sweetheart Table,1,
"White , Blush pink , Emerald green","Orchids, white roses, white lisianthus, tropical greenery, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638558459036x290912844311504300.png,,Orchids and white flowers garland,Welcome sign,10,
"White , Sage green , Green","White wild flowers, greenery, 2 archway stands",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638558762385x502065541811051140.png,,Wild flowers archway stands,Arch,8,
White,"Baby's breath, rectangular arch structure, 4 plastic plates for the floor centrepieces",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638558906631x314564569590648260.png,,Baby's breath arch + semicircle centrepieces,Arch,6,
"Light blue , Blue , Pink , dusty pink  , Natural Green , White , Green , Cream , Pale Pink , Baby blue , Light Dusty blue , Pale green , White , Orange , Peach , Pale apricot","Light blush garden roses, white ranunculus, peach peonies, white wild flowers, blue delphinium, greenery, plastic plate",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638560801740x979973567345896700.png,,Hint of blue and peach,Short Arrangement,13,
"White , Pale Pink , Peach , Light Dusty blue , Baby blue , Green","Arch centrepiece with white hydrangeas, pale pink roses, anemones, blue delphinium, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638561061572x480423808291636540.png,,Hint of blue and peach arch centerpiece,Arch,4,
"Blush pink , Peach , Cream , Ivory , Light Beige , Oatmeal , Dark Terracotta , Milk Chocolate , Burgundy","2 Archway stands with blush, rust, white and burgundy roses",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638561211684x359968587554666300.png,,Pampas grass archway stand,Arch,0,
"Coral  , Champagne , Yellow , Orange , White , Pale Pink , Peach , Pale apricot , Sage green","Pink mums, light yellow mums, peach dahlias, white wild flowers",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638564711489x756303913007571700.png,,Peach and pink floor centerpices,Aisle,3,
"White , Emerald green","White tropical flower, tropical greenery plastic plate",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638564853499x678468071724630800.png,,Tropical white flowers floor centerpiece,Aisle,0,
"White , Ivory","White roses, Ivory roses, baby's breath, golden stand",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638811623888x535766741338596200.png,,Aisle stand with baby's breath,Aisle,0,
"White , Ivory , Oatmeal","Baby's breath, ivory and white roses, dried palm leaves, golden compote vase",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638812063605x783924178500041500.png,,"Baby's breath, roses, dried palm leaves",Short Arrangement,2,
"White , Ivory , Oatmeal , Dark Terracotta","White, ivory, quicksand roses, baby's breath",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638812417108x410217465133810900.png,,"Baby's breath, roses",Short Arrangement,0,
"White , Pale Pink , Blush pink , Green","White roses, blush roses, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1638817655140x200293176506446180.png,,Blush and white cake flowers,Wedding cake,13,
"White , Coral  , Peach , Pink peach , Pale apricot",Cream and blush with a hint of apricot and blue bridal bouquet,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1639079653663x971314270056192500.png,,Peach and blush bridal bouquet,Bridal Bouquet,9,
"Pale Pink , Pale apricot , Light Beige , Lavender , Sage green","Medium size bridal bouquet with hints of light peach, lilac, soft pink.",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1639079745184x266852217082074200.png,,Spring vibe bouquet with a hint of lilac,Bridal Bouquet,1,
"Pale Pink , Christmas Red , Burgundy","Red roses, burgundy roses, mauve and pink carnations, burgundy ranunculus, golden compote vase",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1639081566286x269800008418955360.png,,Red and pink centerpieces,Short Arrangement,1,
"Ivory , Sage green","Ivory rose, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1639083613312x752854750761272400.png,,Ivory rose boutoniere,Boutonnieres,7,
"Natural Green , deep green , Sage , Green , Sage green , Dark green , Pale green",Eucalyptus greenery garland 5ft long,Seeded Eucalyptus,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1639086224033x637054330615647400.png,,Greenery garland 10 ft long,Garland,3,
"White , Ivory , Sage green , Green","White anemones, ivory roses, white stock flowers, greenery, golden compote vase",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1639172167420x945082789041119100.png,,Anemones white short centrepiece,Short Arrangement,4,
,"No particular about the flower type, just color scheme,",,,,Arielle,Bridal Bouquet,0,
,The specific flowers in the bouquet are not important. The color scheme and keeping pricing down is most important.,,,,Arielle,Bridal Bouquet,0,
,,,,,,Bridesmaids Bouquet,0,
"White , Champagne , Pale apricot , Coral pink , Emerald green","Monstera leaves, fern, roses, stock flowers",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1639511270680x671327290211591200.png,,Tropical aisle chair flowers,Aisle Chairs,0,
