Colors,Description,Flowers,Image,Misc items,Name,type_id,Used,
"Burgundy  , White , Terracota , chocolate , Champagne , Ivory , Mustard Yellow , Burgundy , Green","Fall Corsage with roses, scabies's, mini orange chrysanthemum, greenery accents ",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1630640554582x789353924347534500.jpeg,,Fall Corsages ,Corsage,2,
"Sage , White",,Silver dollar ,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1630276762724x246940972040677900.png,,Corsage,Corsage,3,
"Apricot , Peach , Sage , White",Aisle flowers arrangements ,"Peach Ran unculus  , Cherry Brandy  , Vendela Roses  , Seeded Eucalyptus , Seeded Eucalyptus",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1630990315640x151809080487945730.png,,Aisle flowers arrangements ,Aisle Chairs,4,
,Hanging greenery with touch of florals ,"Smilax Greenery  , Vendela Roses ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1630992455537x215140231359064450.png,Hooks for hanging on the wall,Hanging greenery for the barn door ,Elevated,1,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1630993320672x252384255123957660.jpg,,,,0,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1630993365001x703711398405261800.jpg,,,,0,
,10 ft Greenery garland ,"Huckleberry greenery  , Silver dollar  , Itallian Ruscus ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631033658155x519655180376950900.jpg,,Bar Greenery Garland ,Garland,2,
,,,,,,,0,
"beige , Peach , Ivory , Blush , Sage , Pale Pink , Blush pink , Pale apricot , Sage green , Pink peach",Centerpiece with variety of blooms in a gold or silver vase. ,"Peach Ran unculus  , Sweet Escimo , Vendela Roses  , Silver dollar  , Pink Mondial  , Garden Juliet Peach Rose , (deleted thing)",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631047421812x254384120365905180.png,Gold Compote vase from accent decor ,Short compote style vase,Short Arrangement,2,
"deep green , Sage , White",Tall rectangular bridge 24 ft long and 40'' heigh.  ,"White Tibet , Italian Ruscus , Salal Greenery  , White Dendrobium orchid  , Majolica Spray Roses ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631047450644x787368043436865500.png,Gold Rectangular stand ,Tall Rectangular Bridge ,Elevated,6,
"Sage , White",Greenery and flowers wreath 14 inches in diameter ,"White Anemone , White wax flower , Vendela Roses  , Majolica Spray Roses  , Eucalyptus Gunii  , Seeded Eucalyptus , olive leaves",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631047492255x257065927175742720.png,"Pillar Candle  , Dollar tree Vase 9"" tall , Lumi plastic plate",greenery and flowers wreath ,Short Arrangement,0,
"deep green , Emerald Green , White",Greenery and flowers garland with bud vases 8 ft long ,"Areca Palm , White Dendrobium orchid ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631047511271x557461897017350850.png,Budvase,Tropical Garland With Bud Vases ,Garland,2,
"White , Blush pink , Burgundy , Green","White hydrangeas, white roses, blush roses, burgundy roses, burgundy dahlias, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631047528355x741234801235785500.png,,Short centrepiece with a hint of burgundy,Short Arrangement,0,
"White , Green","White roses, white hydrangeas, white stock flowers, tall 24 inches trumpet silver mercury vase. ","White Hydrangeas , White Tibet , White Stock , White Snowflake Spray Rose ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631047541744x498237724660854900.png,,Tall centerpiece with white flowers,Tall Arrangement,4,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631047555166x297176134190566560.png,,,Tall Arrangement,0,
"White , Burgundy",White and burgundy roses garland with a  hint of greenery.,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631047569503x281255386406930720.png,,Burgundy hints sweetheart table garland,Sweetheart Table,0,
"White , Blush , Sage","24 inch clear trumpet vase with white flowers, blush roses  and  touches of greenery ","White hydrangeas , Majolica Spray Roses  , Sweet Escimo , Itallian Ruscus ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631047585999x673832599772050700.png,Clear Trumpet Vase ,White and blush tall centerpiece ,Tall Arrangement,0,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631047598567x445037252146085500.png,,,Short Arrangement,0,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631047611535x979580742230973400.png,,,Short Arrangement,0,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631047777320x697836753621710500.png,,,Corsage,0,
"White , Pale green , Sage green , Dark green , Green",White ranunculus with greenery corsage,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631047788724x473028653632642700.png,,White Ranunculus and Greenery ,Corsage,30,
"White , Blush pink","Pearl bracelet, light pink roses, white roses, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631047799167x241855797740883700.png,,$35 Wrist corsages,Corsage,1,
"White , Green",white ranunculus with touches of greenery with pearl bracelet,"White Ranunculus , Italian Ruscus",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631047809808x114823430707968740.png,,White ranunculus Mothers Corsages ,Corsage,87,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631047824115x373396203604153150.png,,,Corsage,0,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631047833908x417796777836312770.png,,,Corsage,0,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631047859820x431938466729666800.png,,,Corsage,0,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631048028189x489417236533628200.png,,Orchid rose pink,Boutonnieres,3,
"White , Sage green , Green","1 Rose, seeded eucalyptus",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631048045090x177804954416995740.png,,Rose boutonniere,Boutonnieres,61,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631048057699x379265097843527040.png,,,Boutonnieres,0,
"Lavender , Lavender pink , Pale Pink , Purple , Green","Light purple rose, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631048067703x201526200092375420.png,,Boutoniere,Boutonnieres,1,
"White , Green",White Ranunculus Boutonnière ,"White Ranunculus , Italian Ruscus",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631048077922x711609273604051000.png,,White ranunculus boutonnière ,Boutonnieres,68,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631048091112x275857778251054100.png,,,Boutonnieres,0,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631048104492x582788992478948200.png,,,Boutonnieres,0,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631048119232x192643680745838940.png,,,Boutonnieres,0,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631048130595x345658041319751900.png,,,Boutonnieres,0,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631048141464x788361524283627000.png,,,Boutonnieres,0,
"Sage green , Pale green , Green , Dark green , Emerald green , Dark teal",,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631048157639x779826919185747000.png,,Suculent green,Boutonnieres,1,
"White , Cream",,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631048310451x852162480707840800.png,,Hair flowers,Hair Arrangement,1,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631048322188x775270873654059400.png,,,Hair Arrangement,0,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631048335898x927093525074598400.png,,,Hair Arrangement,0,
White,Baby's breath crown,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631048358400x229290884455127360.png,,Flower Girl Crown Adjustable Size,Kids Arrangement,28,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631048381166x950269888729923100.png,,,Hair Arrangement,0,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631048395404x857179436404907000.png,,,Hair Arrangement,0,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631048407387x678003418529684600.png,,,Hair Arrangement,0,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631048422607x607782709036053300.png,,,Hair Arrangement,0,
"White , Pale Pink , Blush pink , Pale apricot , Champagne , Sage green","Blush garden roses, White roses, peach roses, white stock flowers, greenery","Sweet Escimo , Garden Juliet Peach Rose , Blush Ranunculus  , Dave Austin White Garden Rose , White dahlias , Majolica Spray Roses  , White Astilbe  , Eucalyptus Gunii  , White Lusianthus ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631049134339x566949444431224400.png,,"Bridal Bouquet with white, blush, light peach flowers and greenery",Bridal Bouquet,0,
"White , Blush pink , Peach , Pale apricot , Sage green , Oatmeal","White roses, blush roses, peach peonies, peach ranunculus, dried greenery, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1636482229161x452784271065490370.png,,,Bridal Bouquet,0,
"White , Coral pink , Black , Green , Pink peach","Coral peonies, light peach peonies, anemones, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631049161490x375253157164243000.png,,Bridal bouquet,Bridal Bouquet,0,
Burgundy,"Burgundy dahlias, burgundy garden roses, cappucino roses, anemones, burgundy scabiosa, burgundy ranunculus, burgundy astilbe, silver brunia",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631049186080x195354576518327780.png,,Burgundy with blush and white ,Bridal Bouquet,3,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631049198828x276416936628421920.png,,,Bridal Bouquet,0,
,,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631049210456x877079141139293700.png,,,Bridal Bouquet,0,
"Orange , Green , Yellow , Baby pink","Light yellow peonies, pink ranunculus, pale pink roses, wild flowers, greenery",,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631049224797x842774662577985900.png,,Bridal bouquet,Bridal Bouquet,0,
